lab_testcode,Local Name,Counts
Fibrinogeen-BL,Fibrinogeen,1302
Flecainide-BL,Flecainide,51
FlecainideDS-BL,Flecainide (DS),41
fO2HbArt-BL,Fractie oxyhemoglobine (Art.),912
Foliumzuur-BL,Foliumzuur,4703
Fosfaat-BL,Fosfaat,23977
Fosfaat-UP,Fosfaat,146
Fosfaat-UV,Fosfaat,447
FosfaatVol-UV,Fosfaat /24u,411
Fragmentocyt-BL,Fragmentocyten(schizoc.),34
Fructosamine-BL,Fructosamine,412
FSH-BL,FSH,781
Functietest-BL,Functietest,326
Furosemide-UP,Furosemide,11
G6PD_HK_Ratio-BL,G6PD/HK ratio,16
G6PD-BL,Glucose-6P-dehydrogenase,19
GAD-BL,anti-GAD65,112
Galzuren-BL,Galzuren,205
GammaGT-BL,gamma-GT,46960
Ganciclovir-BL,Ganciclovir,33
Gastrine-BL,Gastrine,42
GeactiveerdeT_CD4-BL,Geact. T-cellen (CD4),35
GeactiveerdeT_CD8-BL,Geact. T-cellen (CD8),35
Gentamicine-BL,Gentamicine,18
GentamicineDS-BL,Gentamicine (DS),16
GFR-BL,eGFR,149327
Gist-UP,Gist,134
Gladspier-BL,anti-Gladspierweefsel,210
GlomBasMem-BL,anti-GBM,34
Glucagon-BL,Glucagon,14
Glucose-0.30h-BL,Glucose (+0:30 h),30
Glucose-0h-BL,Glucose (+0:00 h),58
Glucose-1.30h-BL,Glucose (+1:30 h),30
Glucose-1h-BL,Glucose (+1:00 h),44
Glucose-2h-BL,Glucose (+2:00 h),58
Glucose-BL,Glucose,214516
Glucose-nuchter-BL,Glucose (nuchter),197
Glucose-UP,Glucose,65
Glucose-UV,Glucose,107
GlucoseScreen-UP,Glucose screening,23685
GlucoseVol-UV,Glucose /24u,99
GluLiBlindex-BL,Glucose LI/BS index,107
Groeihor-0.30h-BL,Groeihormoon (+0:30 h),10
Groeihor-0h-BL,Groeihormoon (+0:00 h),10
Groeihor-1.30h-BL,Groeihormoon (+1:30 h),10
Groeihor-1h-BL,Groeihormoon (+1:00 h),10
