Position,Var Name,Variable Label,VaR lab English,Value,Value Label,VaL lab English,Missing Values
102,klar_gst,Beoordeling kreat. klaring (Cockroft), ,    3,"Normaal (>=80,0)", ,9
102,klar_gst,Beoordeling kreat. klaring (Cockroft), ,    9,Missend, ,9
103,MDRD,MDRD (modification of dietin renal diseases)-klaring, , 9999,Missend, ,9999.0
104,labhcyst,Homocysteïne voor belasting (µmol/l.), ,   -1,Buiten standaard afname periode, ,"-1.0, 8884.0, 9999.0"
104,labhcyst,Homocysteïne voor belasting (µmol/l.), , 8884,Onbetrouwbaar, ,"-1.0, 8884.0, 9999.0"
104,labhcyst,Homocysteïne voor belasting (µmol/l.), , 9999,Missend, ,"-1.0, 8884.0, 9999.0"
105,hyphmc_n,Niet/wel hyperhomocysteinemie, ,   -1,Buiten standaard afname periode, ,"-1, 9"
105,hyphmc_n,Niet/wel hyperhomocysteinemie, ,    0,Nee, ,"-1, 9"
105,hyphmc_n,Niet/wel hyperhomocysteinemie, ,    1,Ja, ,"-1, 9"
105,hyphmc_n,Niet/wel hyperhomocysteinemie, ,    9,Missend, ,"-1, 9"
106,labins,Insuline (mU/l.), ,   -1,Niet standaard voor 1-7-2003, ,"772.0 through 999.0, and -1.0"
106,labins,Insuline (mU/l.), ,  772,Lage waarde (<=5), ,"772.0 through 999.0, and -1.0"
106,labins,Insuline (mU/l.), ,  773,"Lage waarde (<0,2)", ,"772.0 through 999.0, and -1.0"
106,labins,Insuline (mU/l.), ,  775,"Lage waarde (<0,5)", ,"772.0 through 999.0, and -1.0"
106,labins,Insuline (mU/l.), ,  777,Lage waarde (<2), ,"772.0 through 999.0, and -1.0"
106,labins,Insuline (mU/l.), ,  884,Onbetrouwbaar, ,"772.0 through 999.0, and -1.0"
106,labins,Insuline (mU/l.), ,  999,Missend, ,"772.0 through 999.0, and -1.0"
107,labtsh,TSH (mU/l.), ,   -1,Niet standaard voor 1-7-2003, ,"772.00 through 999.00, and -1.00"
107,labtsh,TSH (mU/l.), ,  772,"Lage waarde (<0,02)", ,"772.00 through 999.00, and -1.00"
107,labtsh,TSH (mU/l.), ,  773,"Lage waarde   (<=0,01)", ,"772.00 through 999.00, and -1.00"
107,labtsh,TSH (mU/l.), ,  884,Onbetrouwbaar, ,"772.00 through 999.00, and -1.00"
107,labtsh,TSH (mU/l.), ,  999,Missend, ,"772.00 through 999.00, and -1.00"
108,labcrp,HsCRP (mg./l.), ,   -1,Niet standaard voor 1-7-2003, ,"772.0 through 999.0, and -1.0"
108,labcrp,HsCRP (mg./l.), ,  772,"Lage waarde (lager dan 10,0)", ,"772.0 through 999.0, and -1.0"
108,labcrp,HsCRP (mg./l.), ,  773,"Lage waarde (<=0,2)", ,"772.0 through 999.0, and -1.0"
108,labcrp,HsCRP (mg./l.), ,  774,"Lage waarde (<0,1)", ,"772.0 through 999.0, and -1.0"
108,labcrp,HsCRP (mg./l.), ,  775,"Lage waarde (<0,5)", ,"772.0 through 999.0, and -1.0"
108,labcrp,HsCRP (mg./l.), ,  884,Onbetrouwbaar, ,"772.0 through 999.0, and -1.0"
108,labcrp,HsCRP (mg./l.), ,  999,Missend, ,"772.0 through 999.0, and -1.0"
109,labhba1c,HbA1c (%), ,   -1,Niet standaard voor 1-1-2006, ,"-1.0, 84.0, 99.0"
109,labhba1c,HbA1c (%), ,   84,Onbetrouwbaar, ,"-1.0, 84.0, 99.0"
109,labhba1c,HbA1c (%), ,   99,Missend, ,"-1.0, 84.0, 99.0"
110,labapob,Apo-B (g./l.), ,   -1,Niet standaard voor 1-1-2006, ,"8.00 through 776.00, and -1.00"
110,labapob,Apo-B (g./l.), ,    8,Onbetrouwbaar, ,"8.00 through 776.00, and -1.00"
110,labapob,Apo-B (g./l.), ,    9,Missend, ,"8.00 through 776.00, and -1.00"
110,labapob,Apo-B (g./l.), ,  776,"Lage waarde (<0,3)", ,"8.00 through 776.00, and -1.00"
111,roken,Status roken, ,    0,Nooit gerookt, ,9
111,roken,Status roken, ,    1,Vroeger gerookt, ,9
111,roken,Status roken, ,    3,Rookt momenteel, ,9
111,roken,Status roken, ,    9,Missend, ,9
112,packyrs,Aantal pakjes sig./shag (van 20) per dag keer aantal jaren gerookt, ,  999,Missend, ,999.0
113,alcohol,Status alcohol-drinken, ,    0,Nooit alcohol gedronken, ,9
113,alcohol,Status alcohol-drinken, ,    1,Vroeger alcohol gedronken, ,9
113,alcohol,Status alcohol-drinken, ,    2,Recent gestopt / nog steeds, ,9
113,alcohol,Status alcohol-drinken, ,    3,Alcohol-drinken momenteel, ,9
113,alcohol,Status alcohol-drinken, ,    9,Missend, ,9
114,AlchlGlz,Alcohol: glazen per week, ,    0,ik drink geen alcohol, ,95 through Highest
114,AlchlGlz,Alcohol: glazen per week, ,    1,<1, ,95 through Highest
114,AlchlGlz,Alcohol: glazen per week, ,    2,1 - 10, ,95 through Highest
114,AlchlGlz,Alcohol: glazen per week, ,    3,11 - 20, ,95 through Highest
114,AlchlGlz,Alcohol: glazen per week, ,    4,21 - 30, ,95 through Highest
114,AlchlGlz,Alcohol: glazen per week, ,    5,31 - 40, ,95 through Highest
114,AlchlGlz,Alcohol: glazen per week, ,    6,>40, ,95 through Highest
114,AlchlGlz,Alcohol: glazen per week, ,   95,Onbeantwoord, ,95 through Highest
114,AlchlGlz,Alcohol: glazen per week, ,   98,Niet van toepassing (oud), ,95 through Highest
114,AlchlGlz,Alcohol: glazen per week, ,   99,Missend, ,95 through Highest
115,V0821,Ooit vegetarier, ,    0,Nooit, ,5 through Highest
115,V0821,Ooit vegetarier, ,    1,Ooit, ,5 through Highest
115,V0821,Ooit vegetarier, ,    5,Onbeantwoord, ,5 through Highest
115,V0821,Ooit vegetarier, ,    9,Missend, ,5 through Highest
116,V082201,Vegetariër: startjaar, ,   -1,not asked after november 2019, ,"-1, 9999"
116,V082201,Vegetariër: startjaar, , 9999,Missend, ,"-1, 9999"
117,V082202,Vegetariër: eindjaar, ,   -1,not asked after november 2019, ,"-1, 9999"
